Mechanic ID,Permanent ID,MechanicName,Is Power Technician,Distributor Code,Mobile,Tehsil,District,State,Pincode,Points,PartNumber,Description,Unique Part Code,Last Accumulation Date,Month,Year
TME2F801P,,saurabh member  ,NO,98765,+917019432539,,k,Karnataka,564334,3,24130105,BEARING  BALL,UPCC0087,2017-01-04 13:23:32+00:00,January,2017
TME2F801P,,saurabh member  ,NO,98765,+917019432539,,k,Karnataka,564334,11,24171063,SHOCK ABS RR 4S PETR,XWSMBB57,2017-01-20 04:31:49+00:00,January,2017
TME2F801P,,saurabh member  ,NO,98765,+917019432539,,k,Karnataka,564334,11,24171137,SHOCK ABSORBER FR,UPCC0086,2017-02-20 11:25:15+00:00,February,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,3,52AB0098,FR.MUDGUARD,UPCC0075,2017-01-04 08:36:43+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,4,AB201072,H.L.ASSY,UPCC0078,2017-01-04 08:37:41+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,11,24171137,SHOCK ABSORBER FR,UPCC0081,2017-01-04 09:22:47+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,7,AP171003,SHOCK ABSORBER FRONT,UPCC0083,2017-01-04 10:32:08+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,2,39121420,BEARING - BALL :- 20 X 42 X 12,5EHOKTCI,2017-01-04 10:34:06+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,15,AL131113,GEAR DIFFERENTIAL,UPCM0070,2017-01-04 10:35:34+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,15,AL131113,GEAR DIFFERENTIAL,UPCM0109,2017-01-04 10:35:58+00:00,January,2017
TME6L3S60,,qamember2  ,NO,98765,+915665687897,,kolar,Karnataka,563226,4,24151268,BRAKE SHOE KIT (FL),UPCC0084,2017-01-04 13:07:06+00:00,January,2017
